MEDV,INDUS,CHAS,NOX,RAD
24,2.31,0,0.538,1
21.6,7.07,0,0.469,2
34.7,7.07,0,0.469,2
33.4,2.18,0,0.458,3
36.2,2.18,0,0.458,3
28.7,2.18,0,0.458,3
22.9,7.87,0,0.524,5
27.1,7.87,0,0.524,5
16.5,7.87,0,0.524,5
18.9,7.87,0,0.524,5
15,7.87,0,0.524,5
18.9,7.87,0,0.524,5
21.7,7.87,0,0.524,5
20.4,8.14,0,0.538,4
18.2,8.14,0,0.538,4
19.9,8.14,0,0.538,4
23.1,8.14,0,0.538,4
17.5,8.14,0,0.538,4
20.2,8.14,0,0.538,4
18.2,8.14,0,0.538,4
13.6,8.14,0,0.538,4
19.6,8.14,0,0.538,4
15.2,8.14,0,0.538,4
14.5,8.14,0,0.538,4
15.6,8.14,0,0.538,4
13.9,8.14,0,0.538,4
16.6,8.14,0,0.538,4
14.8,8.14,0,0.538,4
18.4,8.14,0,0.538,4
21,8.14,0,0.538,4
12.7,8.14,0,0.538,4
14.5,8.14,0,0.538,4
13.2,8.14,0,0.538,4
13.1,8.14,0,0.538,4
13.5,8.14,0,0.538,4
18.9,5.96,0,0.499,5
20,5.96,0,0.499,5
21,5.96,0,0.499,5
24.7,5.96,0,0.499,5
30.8,2.95,0,0.428,3
34.9,2.95,0,0.428,3
26.6,6.91,0,0.448,3
25.3,6.91,0,0.448,3
24.7,6.91,0,0.448,3
21.2,6.91,0,0.448,3
19.3,6.91,0,0.448,3
20,6.91,0,0.448,3
16.6,6.91,0,0.448,3
14.4,6.91,0,0.448,3
19.4,6.91,0,0.448,3
19.7,5.64,0,0.439,4
20.5,5.64,0,0.439,4
25,5.64,0,0.439,4
23.4,5.64,0,0.439,4
18.9,4,0,0.41,3
35.4,1.22,0,0.403,5
24.7,0.74,0,0.41,2
31.6,1.32,0,0.411,5
23.3,5.13,0,0.453,8
19.6,5.13,0,0.453,8
18.7,5.13,0,0.453,8
16,5.13,0,0.453,8
22.2,5.13,0,0.453,8
25,5.13,0,0.453,8
33,1.38,0,0.4161,3
23.5,3.37,0,0.398,4
19.4,3.37,0,0.398,4
22,6.07,0,0.409,4
17.4,6.07,0,0.409,4
20.9,6.07,0,0.409,4
24.2,10.81,0,0.413,4
21.7,10.81,0,0.413,4
22.8,10.81,0,0.413,4
23.4,10.81,0,0.413,4
24.1,12.83,0,0.437,5
21.4,12.83,0,0.437,5
20,12.83,0,0.437,5
20.8,12.83,0,0.437,5
21.2,12.83,0,0.437,5
20.3,12.83,0,0.437,5
28,4.86,0,0.426,4
23.9,4.86,0,0.426,4
24.8,4.86,0,0.426,4
22.9,4.86,0,0.426,4
23.9,4.49,0,0.449,3
26.6,4.49,0,0.449,3
22.5,4.49,0,0.449,3
22.2,4.49,0,0.449,3
23.6,3.41,0,0.489,2
28.7,3.41,0,0.489,2
22.6,3.41,0,0.489,2
22,3.41,0,0.489,2
22.9,15.04,0,0.464,4
25,15.04,0,0.464,4
20.6,15.04,0,0.464,4
28.4,2.89,0,0.445,2
21.4,2.89,0,0.445,2
38.7,2.89,0,0.445,2
43.8,2.89,0,0.445,2
33.2,2.89,0,0.445,2
27.5,8.56,0,0.52,5
26.5,8.56,0,0.52,5
18.6,8.56,0,0.52,5
19.3,8.56,0,0.52,5
20.1,8.56,0,0.52,5
19.5,8.56,0,0.52,5
19.5,8.56,0,0.52,5
20.4,8.56,0,0.52,5
19.8,8.56,0,0.52,5
19.4,8.56,0,0.52,5
21.7,8.56,0,0.52,5
22.8,10.01,0,0.547,6
18.8,10.01,0,0.547,6
18.7,10.01,0,0.547,6
18.5,10.01,0,0.547,6
18.3,10.01,0,0.547,6
21.2,10.01,0,0.547,6
19.2,10.01,0,0.547,6
20.4,10.01,0,0.547,6
19.3,10.01,0,0.547,6
22,25.65,0,0.581,2
20.3,25.65,0,0.581,2
20.5,25.65,0,0.581,2
17.3,25.65,0,0.581,2
18.8,25.65,0,0.581,2
21.4,25.65,0,0.581,2
15.7,25.65,0,0.581,2
16.2,21.89,0,0.624,4
18,21.89,0,0.624,4
14.3,21.89,0,0.624,4
19.2,21.89,0,0.624,4
19.6,21.89,0,0.624,4
23,21.89,0,0.624,4
18.4,21.89,0,0.624,4
15.6,21.89,0,0.624,4
18.1,21.89,0,0.624,4
17.4,21.89,0,0.624,4
17.1,21.89,0,0.624,4
13.3,21.89,0,0.624,4
17.8,21.89,0,0.624,4
14,21.89,0,0.624,4
14.4,21.89,0,0.624,4
13.4,19.58,1,0.871,5
15.6,19.58,0,0.871,5
11.8,19.58,0,0.871,5
13.8,19.58,0,0.871,5
15.6,19.58,0,0.871,5
14.6,19.58,0,0.871,5
17.8,19.58,0,0.871,5
15.4,19.58,0,0.871,5
21.5,19.58,0,0.871,5
19.6,19.58,0,0.871,5
15.3,19.58,1,0.871,5
19.4,19.58,0,0.871,5
17,19.58,1,0.871,5
15.6,19.58,1,0.871,5
13.1,19.58,0,0.871,5
41.3,19.58,0,0.605,5
24.3,19.58,0,0.605,5
23.3,19.58,0,0.871,5
27,19.58,1,0.605,5
50,19.58,0,0.605,5
50,19.58,1,0.605,5
50,19.58,1,0.605,5
22.7,19.58,0,0.605,5
25,19.58,0,0.605,5
50,19.58,0,0.605,5
23.8,19.58,0,0.605,5
23.8,19.58,0,0.605,5
22.3,19.58,0,0.605,5
17.4,19.58,0,0.605,5
19.1,19.58,0,0.605,5
23.1,4.05,0,0.51,5
23.6,4.05,0,0.51,5
22.6,4.05,0,0.51,5
29.4,4.05,0,0.51,5
23.2,4.05,0,0.51,5
24.6,4.05,0,0.51,5
29.9,4.05,0,0.51,5
37.2,2.46,0,0.488,3
39.8,2.46,0,0.488,3
36.2,2.46,0,0.488,3
37.9,2.46,0,0.488,3
32.5,2.46,0,0.488,3
26.4,2.46,0,0.488,3
29.6,2.46,0,0.488,3
50,2.46,0,0.488,3
32,3.44,0,0.437,5
29.8,3.44,0,0.437,5
34.9,3.44,0,0.437,5
37,3.44,0,0.437,5
30.5,3.44,0,0.437,5
36.4,3.44,0,0.437,5
31.1,2.93,0,0.401,1
29.1,2.93,0,0.401,1
50,0.46,0,0.422,4
33.3,1.52,0,0.404,2
30.3,1.52,0,0.404,2
34.6,1.52,0,0.404,2
34.9,1.47,0,0.403,3
32.9,1.47,0,0.403,3
24.1,2.03,0,0.415,2
42.3,2.03,0,0.415,2
48.5,2.68,0,0.4161,4
50,2.68,0,0.4161,4
22.6,10.59,0,0.489,4
24.4,10.59,0,0.489,4
22.5,10.59,0,0.489,4
24.4,10.59,1,0.489,4
20,10.59,1,0.489,4
21.7,10.59,1,0.489,4
19.3,10.59,1,0.489,4
22.4,10.59,1,0.489,4
28.1,10.59,0,0.489,4
23.7,10.59,0,0.489,4
25,10.59,0,0.489,4
23.3,13.89,1,0.55,5
28.7,13.89,0,0.55,5
21.5,13.89,1,0.55,5
23,13.89,1,0.55,5
26.7,6.2,1,0.507,8
21.7,6.2,1,0.507,8
27.5,6.2,1,0.507,8
30.1,6.2,0,0.507,8
44.8,6.2,0,0.504,8
50,6.2,0,0.504,8
37.6,6.2,0,0.504,8
31.6,6.2,0,0.504,8
46.7,6.2,0,0.504,8
31.5,6.2,0,0.504,8
24.3,6.2,0,0.504,8
31.7,6.2,0,0.504,8
41.7,6.2,0,0.507,8
48.3,6.2,0,0.507,8
29,6.2,1,0.507,8
24,6.2,0,0.507,8
25.1,6.2,1,0.507,8
31.5,6.2,0,0.507,8
23.7,4.93,0,0.428,6
23.3,4.93,0,0.428,6
22,4.93,0,0.428,6
20.1,4.93,0,0.428,6
22.2,4.93,0,0.428,6
23.7,4.93,0,0.428,6
17.6,5.86,0,0.431,7
18.5,5.86,0,0.431,7
24.3,5.86,0,0.431,7
20.5,5.86,0,0.431,7
24.5,5.86,0,0.431,7
26.2,5.86,0,0.431,7
24.4,5.86,0,0.431,7
24.8,5.86,0,0.431,7
29.6,5.86,0,0.431,7
42.8,5.86,0,0.431,7
21.9,3.64,0,0.392,1
20.9,3.64,0,0.392,1
44,3.75,0,0.394,3
50,3.97,0,0.647,5
36,3.97,0,0.647,5
30.1,3.97,0,0.647,5
33.8,3.97,0,0.647,5
43.1,3.97,0,0.647,5
48.8,3.97,0,0.647,5
31,3.97,0,0.647,5
36.5,3.97,0,0.647,5
22.8,3.97,0,0.647,5
30.7,3.97,0,0.647,5
50,3.97,0,0.575,5
43.5,3.97,0,0.575,5
20.7,6.96,1,0.464,3
21.1,6.96,0,0.464,3
25.2,6.96,0,0.464,3
24.4,6.96,0,0.464,3
35.2,6.96,1,0.464,3
32.4,6.41,1,0.447,4
32,6.41,0,0.447,4
33.2,6.41,1,0.447,4
33.1,6.41,1,0.447,4
29.1,6.41,0,0.447,4
35.1,3.33,0,0.4429,5
45.4,3.33,0,0.4429,5
35.4,3.33,0,0.4429,5
46,3.33,1,0.4429,5
50,1.21,1,0.401,1
32.2,2.97,0,0.4,1
22,2.25,0,0.389,1
20.1,1.76,0,0.385,1
23.2,5.32,0,0.405,6
22.3,5.32,0,0.405,6
24.8,5.32,0,0.405,6
28.5,4.95,0,0.411,4
37.3,4.95,0,0.411,4
27.9,4.95,0,0.411,4
23.9,13.92,0,0.437,4
21.7,13.92,0,0.437,4
28.6,13.92,0,0.437,4
27.1,13.92,0,0.437,4
20.3,13.92,0,0.437,4
22.5,2.24,0,0.4,5
29,2.24,0,0.4,5
24.8,2.24,0,0.4,5
22,6.09,0,0.433,7
26.4,6.09,0,0.433,7
33.1,6.09,0,0.433,7
36.1,2.18,0,0.472,7
28.4,2.18,0,0.472,7
33.4,2.18,0,0.472,7
28.2,2.18,0,0.472,7
22.8,9.9,0,0.544,4
20.3,9.9,0,0.544,4
16.1,9.9,0,0.544,4
22.1,9.9,0,0.544,4
19.4,9.9,0,0.544,4
21.6,9.9,0,0.544,4
23.8,9.9,0,0.544,4
16.2,9.9,0,0.544,4
17.8,9.9,0,0.544,4
19.8,9.9,0,0.544,4
23.1,9.9,0,0.544,4
21,9.9,0,0.544,4
23.8,7.38,0,0.493,5
23.1,7.38,0,0.493,5
20.4,7.38,0,0.493,5
18.5,7.38,0,0.493,5
25,7.38,0,0.493,5
24.6,7.38,0,0.493,5
23,7.38,0,0.493,5
22.2,7.38,0,0.493,5
19.3,3.24,0,0.46,4
22.6,3.24,0,0.46,4
19.8,3.24,0,0.46,4
17.1,6.06,0,0.4379,1
19.4,6.06,0,0.4379,1
22.2,5.19,0,0.515,5
20.7,5.19,0,0.515,5
21.1,5.19,0,0.515,5
19.5,5.19,0,0.515,5
18.5,5.19,0,0.515,5
20.6,5.19,0,0.515,5
19,5.19,0,0.515,5
18.7,5.19,0,0.515,5
32.7,1.52,0,0.442,1
16.5,1.89,0,0.518,1
23.9,3.78,0,0.484,5
31.2,3.78,0,0.484,5
17.5,4.39,0,0.442,3
17.2,4.39,0,0.442,3
23.1,4.15,0,0.429,4
24.5,2.01,0,0.435,4
26.6,1.25,0,0.429,1
22.9,1.25,0,0.429,1
24.1,1.69,0,0.411,4
18.6,1.69,0,0.411,4
30.1,2.02,0,0.41,5
18.2,1.91,0,0.413,4
20.6,1.91,0,0.413,4
17.8,18.1,1,0.77,24
21.7,18.1,1,0.77,24
22.7,18.1,1,0.77,24
22.6,18.1,0,0.77,24
25,18.1,0,0.77,24
19.9,18.1,0,0.77,24
20.8,18.1,0,0.77,24
16.8,18.1,1,0.77,24
21.9,18.1,1,0.718,24
27.5,18.1,0,0.718,24
21.9,18.1,0,0.718,24
23.1,18.1,0,0.631,24
50,18.1,0,0.631,24
50,18.1,1,0.631,24
50,18.1,1,0.631,24
50,18.1,0,0.631,24
50,18.1,1,0.668,24
13.8,18.1,0,0.668,24
13.8,18.1,0,0.668,24
15,18.1,0,0.671,24
13.9,18.1,0,0.671,24
13.3,18.1,0,0.671,24
13.1,18.1,0,0.671,24
10.2,18.1,0,0.671,24
10.4,18.1,0,0.671,24
10.9,18.1,0,0.671,24
11.3,18.1,0,0.7,24
12.3,18.1,0,0.7,24
8.8,18.1,0,0.7,24
7.2,18.1,0,0.7,24
10.5,18.1,0,0.7,24
7.4,18.1,0,0.7,24
10.2,18.1,0,0.7,24
11.5,18.1,0,0.7,24
15.1,18.1,0,0.7,24
23.2,18.1,0,0.7,24
9.7,18.1,0,0.7,24
13.8,18.1,0,0.693,24
12.7,18.1,0,0.693,24
13.1,18.1,0,0.693,24
12.5,18.1,0,0.693,24
8.5,18.1,0,0.693,24
5,18.1,0,0.693,24
6.3,18.1,0,0.693,24
5.6,18.1,0,0.693,24
7.2,18.1,0,0.693,24
12.1,18.1,0,0.693,24
