,Title,Year,Rated,Runtime,Genre,imdbRating,imdbVotes,BoxOffice
0,The Shawshank Redemption,1994,R,142 min,Drama,9.3,"2,662,343","$28,767,189"
1,The Godfather,1972,R,175 min,"Crime, Drama",9.2,"1,847,150","$136,381,073"
2,The Dark Knight,2008,PG-13,152 min,"Action, Crime, Drama",9.0,"2,638,780","$534,987,076"
3,The Lord of the Rings: The Return of the King,2003,PG-13,201 min,"Action, Adventure, Drama",9.0,"1,837,587","$378,251,207"
4,Schindler's List,1993,R,195 min,"Biography, Drama, History",9.0,"1,349,692","$96,898,818"
5,The Godfather Part II,1974,R,202 min,"Crime, Drama",9.0,"1,265,087","$47,834,595"
6,12 Angry Men,1957,Approved,96 min,"Crime, Drama",9.0,"786,180",N/A
7,777 Charlie,2022,N/A,164 min,"Adventure, Comedy, Drama",8.9,"30,143",N/A
8,Jai Bhim,2021,TV-MA,164 min,"Crime, Drama, Mystery",8.9,"200,553",N/A
9,Pulp Fiction,1994,R,154 min,"Crime, Drama",8.9,"2,040,285","$107,928,762"
10,Rocketry: The Nambi Effect,2022,N/A,157 min,"Biography, Drama",8.8,"49,364",N/A
11,Kantara,2022,N/A,148 min,"Action, Adventure, Drama",9.1,"66,433",N/A
12,Inception,2010,PG-13,148 min,"Action, Adventure, Sci-Fi",8.8,"2,338,153","$292,587,330"
13,The Lord of the Rings: The Two Towers,2002,PG-13,179 min,"Action, Adventure, Drama",8.8,"1,659,591","$342,952,511"
14,Fight Club,1999,R,139 min,Drama,8.8,"2,107,648","$37,030,102"
15,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178 min,"Action, Adventure, Drama",8.8,"1,866,719","$316,115,420"
16,Forrest Gump,1994,PG-13,142 min,"Drama, Romance",8.8,"2,066,658","$330,455,270"
17,"The Good, the Bad and the Ugly",1966,R,178 min,"Adventure, Western",8.8,"759,634","$25,100,000"
18,Soorarai Pottru,2020,TV-MA,153 min,Drama,8.7,"116,589",N/A
19,The Matrix,1999,R,136 min,"Action, Sci-Fi",8.7,"1,902,439","$172,076,928"
20,Goodfellas,1990,R,145 min,"Biography, Crime, Drama",8.7,"1,155,302","$46,909,721"
21,Star Wars: Episode V - The Empire Strikes Back,1980,PG,124 min,"Action, Adventure, Fantasy",8.7,"1,287,175","$292,753,960"
22,One Flew Over the Cuckoo's Nest,1975,R,133 min,Drama,8.7,"1,004,277","$108,981,275"
23,Sita Ramam,2022,N/A,163 min,"Action, Drama, Mystery",8.5,"41,323",N/A
24,Interstellar,2014,PG-13,169 min,"Adventure, Drama, Sci-Fi",8.6,"1,812,488","$188,020,017"
25,City of God,2002,R,130 min,"Crime, Drama",8.6,"755,381","$7,564,459"
26,Spirited Away,2001,PG,125 min,"Animation, Adventure, Family",8.6,"759,839","$13,750,644"
27,Saving Private Ryan,1998,R,169 min,"Drama, War",8.6,"1,385,405","$217,049,603"
28,The Green Mile,1999,R,189 min,"Crime, Drama, Fantasy",8.6,"1,295,449","$136,801,374"
29,Life Is Beautiful,1997,PG-13,116 min,"Comedy, Drama, Romance",8.6,"692,359","$57,563,264"
30,Se7en,1995,R,127 min,"Crime, Drama, Mystery",8.6,"1,640,901","$100,125,643"
31,Terminator 2: Judgment Day,1991,R,137 min,"Action, Sci-Fi",8.6,"1,095,182","$205,881,154"
32,The Silence of the Lambs,1991,R,118 min,"Crime, Drama, Thriller",8.6,"1,426,455","$130,742,922"
33,Star Wars: Episode IV - A New Hope,1977,PG,121 min,"Action, Adventure, Fantasy",8.6,"1,359,272","$460,998,507"
34,Harakiri,1962,Not Rated,133 min,"Action, Drama, Mystery",8.6,"57,443",N/A
35,Seven Samurai,1954,Not Rated,207 min,"Action, Drama",8.6,"345,850","$318,649"
36,It's a Wonderful Life,1946,PG,130 min,"Drama, Family, Fantasy",8.6,"454,943","$44,000"
37,Kaithi,2019,Not Rated,145 min,"Action, Adventure, Crime",8.5,"32,361",N/A
38,96,2018,Not Rated,158 min,"Drama, Romance",8.5,"31,391",N/A
39,Parasite,2019,R,132 min,"Drama, Thriller",8.5,"792,997","$53,369,749"
40,Whiplash,2014,R,106 min,"Drama, Music",8.5,"854,378","$13,092,000"
41,The Intouchables,2011,R,112 min,"Biography, Comedy, Drama",8.5,"855,133","$10,198,820"
42,The Prestige,2006,PG-13,130 min,"Drama, Mystery, Sci-Fi",8.5,"1,326,186","$53,089,891"
43,The Departed,2006,R,151 min,"Crime, Drama, Thriller",8.5,"1,318,356","$132,399,394"
44,The Pianist,2002,R,150 min,"Biography, Drama, Music",8.5,"827,948","$32,572,577"
45,Gladiator,2000,R,155 min,"Action, Adventure, Drama",8.5,"1,493,754","$187,705,427"
46,American History X,1998,R,119 min,"Crime, Drama",8.5,"1,118,467","$6,719,864"
47,The Usual Suspects,1995,R,106 min,"Crime, Drama, Mystery",8.5,"1,082,635","$23,341,568"
48,Léon: The Professional,1994,R,110 min,"Action, Crime, Drama",8.5,"1,156,875","$19,501,238"
49,The Lion King,1994,G,88 min,"Animation, Adventure, Drama",8.5,"1,052,735","$422,783,777"
50,Cinema Paradiso,1988,PG,155 min,"Drama, Romance",8.5,"260,909","$12,397,210"
51,Grave of the Fireflies,1988,Not Rated,89 min,"Animation, Drama, War",8.5,"276,663","$516,962"
52,Back to the Future,1985,PG,116 min,"Adventure, Comedy, Sci-Fi",8.5,"1,199,152","$212,836,762"
53,Apocalypse Now,1979,R,147 min,"Drama, Mystery, War",8.5,"666,279","$96,041,782"
54,Alien,1979,R,117 min,"Horror, Sci-Fi",8.5,"880,228","$81,900,459"
